datetime,open,high,low,close,volume
2015-06-04 09:00:00,31.54,31.57,31.54,31.57,4000.0
2015-06-04 11:00:00,31.63,31.73,31.63,31.73,1300.0
2015-06-04 12:00:00,31.71,31.79,31.69,31.76,5025.0
2015-06-04 13:00:00,31.72,31.8851,31.45,31.876,268039.0
2015-06-04 14:00:00,31.88,32.03,31.75,31.76,409204.0
2015-06-04 15:00:00,31.76,31.78,31.57,31.59,154690.0
2015-06-04 16:00:00,31.59,31.71,31.57,31.6,87986.0
2015-06-04 17:00:00,31.6001,31.6002,31.27,31.32,459867.0
2015-06-04 18:00:00,31.31,31.42,31.29,31.37,132598.0
2015-06-04 19:00:00,31.365,31.41,31.301,31.34,339105.0
2015-06-04 20:00:00,31.43,31.45,31.43,31.45,1000.0
2015-06-04 21:00:00,31.45,31.45,31.45,31.45,500.0
2015-06-05 10:00:00,31.19,31.21,31.01,31.05,13000.0
2015-06-05 11:00:00,31.08,31.09,31.08,31.08,2166.0
2015-06-05 12:00:00,31.04,31.12,30.67,30.8,28200.0
2015-06-05 13:00:00,30.75,30.82,30.31,30.49,589359.0
2015-06-05 14:00:00,30.49,30.89,30.49,30.71,396713.0
2015-06-05 15:00:00,30.71,30.7758,30.61,30.63,150991.0
2015-06-05 16:00:00,30.62,30.72,30.53,30.69,101576.0
2015-06-05 17:00:00,30.69,30.76,30.66,30.68,82100.0
2015-06-05 18:00:00,30.681,30.73,30.65,30.69,105105.0
2015-06-05 19:00:00,30.69,30.72,30.59,30.63,469664.0
2015-06-05 20:00:00,30.63,30.63,30.63,30.63,1765.0
2015-06-05 21:00:00,30.63,30.6301,30.63,30.6301,200.0
2015-06-08 08:00:00,31.67,32.77,31.67,32.54,9800.0
2015-06-08 09:00:00,32.54,32.74,32.54,32.6,2900.0
2015-06-08 10:00:00,32.6,32.6,32.44,32.44,29452.0
2015-06-08 11:00:00,32.44,32.47,31.93,32.38,41313.0
2015-06-08 12:00:00,32.38,32.47,32.36,32.43,96481.0
2015-06-08 13:00:00,32.42,32.48,32.27,32.45,1114243.0
2015-06-08 14:00:00,32.45,32.52,32.36,32.41,823876.0
2015-06-08 15:00:00,32.41,32.41,32.07,32.19,1083356.0
2015-06-08 16:00:00,32.19,32.25,32.046,32.05,262625.0
2015-06-08 17:00:00,32.05,32.13,32.03,32.07,283814.0
2015-06-08 18:00:00,32.06,32.27,32.06,32.2,225861.0
2015-06-08 19:00:00,32.21,32.26,32.13,32.15,561146.0
2015-06-08 20:00:00,32.15,32.15,32.15,32.15,37453.0
2015-06-09 08:00:00,31.95,31.95,31.95,31.95,200.0
2015-06-09 09:00:00,31.8,31.85,31.21,31.21,14598.0
2015-06-09 10:00:00,31.3,31.48,31.26,31.48,24794.0
2015-06-09 11:00:00,31.43,31.55,31.35,31.35,6800.0
2015-06-09 12:00:00,31.3,31.54,31.07,31.15,32082.0
2015-06-09 13:00:00,31.15,31.24,31.06,31.08,426707.0
2015-06-09 14:00:00,31.09,31.29,31.01,31.2899,565034.0
2015-06-09 15:00:00,31.29,31.49,31.28,31.4,277811.0
2015-06-09 16:00:00,31.4,31.4149,31.34,31.38,113152.0
2015-06-09 17:00:00,31.38,31.42,31.28,31.33,260439.0
2015-06-09 18:00:00,31.32,31.38,31.2825,31.29,255187.0
2015-06-09 19:00:00,31.29,31.31,31.22,31.22,355109.0
2015-06-09 20:00:00,31.22,31.23,31.22,31.23,1541.0
2015-06-10 09:00:00,31.79,31.79,31.79,31.79,400.0
2015-06-10 10:00:00,31.73,31.81,31.72,31.72,5500.0
2015-06-10 11:00:00,31.82,31.84,31.82,31.84,1950.0
2015-06-10 12:00:00,31.78,31.78,31.73,31.73,1500.0
2015-06-10 13:00:00,31.76,31.93,31.73,31.86,147383.0
2015-06-10 14:00:00,31.87,31.88,31.7,31.87,259313.0
2015-06-10 15:00:00,31.88,32.33,31.81,32.1699,661167.0
2015-06-10 16:00:00,32.17,32.205,32.07,32.1773,117745.0
2015-06-10 17:00:00,32.19,32.21,32.09,32.17,148397.0
2015-06-10 18:00:00,32.18,32.25,32.16,32.24,125190.0
2015-06-10 19:00:00,32.24,32.245,32.13,32.16,285357.0
2015-06-11 09:00:00,32.38,32.38,32.38,32.38,400.0
2015-06-11 10:00:00,32.5,32.5,32.41,32.43,2200.0
2015-06-11 11:00:00,32.35,32.35,32.35,32.35,100.0
2015-06-11 12:00:00,32.31,32.42,32.21,32.403,1900.0
2015-06-11 13:00:00,32.43,32.43,32.27,32.4,134591.0
2015-06-11 14:00:00,32.42,32.58,32.03,32.05,435616.0
2015-06-11 15:00:00,32.04,32.29,32.01,32.202,310364.0
2015-06-11 16:00:00,32.19,32.23,32.17,32.2,55153.0
2015-06-11 17:00:00,32.2,32.29,32.17,32.24,107389.0
2015-06-11 18:00:00,32.24,32.3,32.225,32.25,88192.0
2015-06-11 19:00:00,32.26,32.33,32.25,32.29,418498.0
2015-06-12 08:00:00,32.04,32.07,32.02,32.07,3000.0
2015-06-12 09:00:00,32.19,32.19,32.19,32.19,400.0
2015-06-12 10:00:00,32.01,32.01,32.0,32.0,1000.0
2015-06-12 11:00:00,31.98,31.98,31.86,31.97,5600.0
2015-06-12 12:00:00,31.97,32.05,31.9,31.9,4500.0
2015-06-12 13:00:00,31.91,31.94,31.59,31.67,230923.0
2015-06-12 14:00:00,31.67,31.74,31.44,31.59,278850.0
2015-06-12 15:00:00,31.58,32.12,31.57,32.04,462354.0
2015-06-12 16:00:00,32.05,32.07,31.94,31.96,95698.0
2015-06-12 17:00:00,31.94,32.04,31.92,32.015,97033.0
2015-06-12 18:00:00,32.02,32.0301,31.95,31.95,74923.0
2015-06-12 19:00:00,31.95,32.07,31.935,32.03,233917.0
2015-06-12 21:00:00,31.67,31.67,31.67,31.67,500.0
2015-06-15 08:00:00,31.39,31.39,31.38,31.38,2800.0
2015-06-15 09:00:00,31.31,31.31,31.22,31.22,2200.0
2015-06-15 10:00:00,31.23,31.23,31.08,31.13,4100.0
2015-06-15 11:00:00,31.11,31.11,30.93,30.93,15086.0
2015-06-15 12:00:00,30.98,30.99,30.85,30.91,21365.0
2015-06-15 13:00:00,30.9,31.2,30.88,31.06,513496.0
2015-06-15 14:00:00,31.05,31.15,31.02,31.12,249427.0
2015-06-15 15:00:00,31.13,31.32,31.13,31.22,190511.0
2015-06-15 16:00:00,31.22,31.25,31.15,31.25,113573.0
2015-06-15 17:00:00,31.245,31.37,31.22,31.23,208774.0
2015-06-15 18:00:00,31.22,31.32,31.214,31.25,74749.0
2015-06-15 19:00:00,31.247,31.35,31.23,31.34,243374.0
2015-06-15 20:00:00,31.27,31.27,31.27,31.27,544.0
2015-06-16 08:00:00,30.8,30.97,30.7,30.78,1298.0
2015-06-16 09:00:00,30.74,30.74,30.59,30.59,1500.0
2015-06-16 10:00:00,30.62,30.81,30.61,30.74,3500.0
2015-06-16 11:00:00,30.91,31.05,30.87,31.05,1900.0
2015-06-16 12:00:00,30.83,30.94,30.75,30.9,8985.0
2015-06-16 13:00:00,30.93,31.16,30.9,31.16,205587.0
2015-06-16 14:00:00,31.13,31.2,30.89,30.99,189845.0
2015-06-16 15:00:00,31.0,31.22,30.97,31.12,114258.0
2015-06-16 16:00:00,31.13,31.14,31.08,31.09,53723.0
