datetime,open,high,low,close,volume
2015-06-01 16:00:00,13.59,13.705,13.51,13.7,2861977.0
2015-06-01 20:00:00,13.7,13.73,13.63,13.64,2237409.0
2015-06-02 16:00:00,13.56,13.57,13.29,13.39,2963375.0
2015-06-02 20:00:00,13.4,13.48,13.35,13.45,2460839.0
2015-06-03 16:00:00,13.44,13.45,12.895,12.975,4155745.0
2015-06-03 20:00:00,12.98,13.19,12.97,13.15,3087030.0
2015-06-04 16:00:00,13.08,13.16,12.995,13.055,3033885.0
2015-06-04 20:00:00,13.055,13.07,13.0,13.02,2277129.0
2015-06-05 12:00:00,13.22,13.22,13.08,13.08,1500.0
2015-06-05 16:00:00,13.01,13.24,12.98,13.18,3668762.0
2015-06-05 20:00:00,13.18,13.21,13.1,13.15,5033182.0
2015-06-08 12:00:00,13.15,13.15,13.15,13.15,760.0
2015-06-08 16:00:00,13.12,13.16,13.02,13.1,1518460.0
2015-06-08 20:00:00,13.1,13.16,13.07,13.08,2292322.0
2015-06-09 12:00:00,13.07,13.07,13.07,13.07,700.0
2015-06-09 16:00:00,13.07,13.35,13.06,13.33,2449341.0
2015-06-09 20:00:00,13.33,13.51,13.315,13.51,5326885.0
2015-06-10 12:00:00,13.67,13.72,13.67,13.72,2350.0
2015-06-10 16:00:00,13.64,13.65,13.35,13.385,2560323.0
2015-06-10 20:00:00,13.385,13.4,13.3,13.32,2801924.0
2015-06-11 16:00:00,13.4,13.51,13.32,13.42,1825714.0
2015-06-11 20:00:00,13.42,13.58,13.4,13.52,2773826.0
2015-06-12 16:00:00,13.48,13.515,13.315,13.325,1803074.0
2015-06-12 20:00:00,13.33,13.39,13.305,13.35,1538233.0
2015-06-15 16:00:00,13.33,13.45,13.28,13.42,2390050.0
2015-06-15 20:00:00,13.415,13.48,13.36,13.45,2671086.0
2015-06-16 16:00:00,13.53,13.53,13.33,13.515,1912666.0
2015-06-16 20:00:00,13.515,13.6,13.51,13.58,1829294.0
2015-06-17 16:00:00,13.61,13.71,13.53,13.58,2667907.0
2015-06-17 20:00:00,13.57,13.73,13.52,13.67,2266922.0
2015-06-18 16:00:00,13.67,13.85,13.61,13.79,2509546.0
2015-06-18 20:00:00,13.79,13.875,13.77,13.85,2355272.0
2015-06-19 16:00:00,13.86,13.97,13.765,13.95,2496017.0
2015-06-19 20:00:00,13.95,13.97,13.81,13.85,2440937.0
2015-06-22 16:00:00,13.92,14.02,13.77,14.01,2040483.0
2015-06-22 20:00:00,14.005,14.01,13.89,13.94,2174073.0
2015-06-23 16:00:00,13.94,13.97,13.705,13.735,2315040.0
2015-06-23 20:00:00,13.73,13.76,13.67,13.71,2734245.0
2015-06-24 12:00:00,13.71,13.71,13.71,13.71,347.0
2015-06-24 16:00:00,13.73,13.8,13.54,13.54,2103853.0
2015-06-24 20:00:00,13.54,13.77,13.54,13.64,2554009.0
2015-06-25 16:00:00,13.64,13.66,13.47,13.56,2327353.0
2015-06-25 20:00:00,13.555,13.59,13.51,13.53,1490489.0
2015-06-26 16:00:00,13.49,13.49,13.33,13.4,2067939.0
2015-06-26 20:00:00,13.41,13.53,13.395,13.46,2262683.0
2015-06-29 16:00:00,13.41,13.52,13.28,13.3,2282550.0
