datetime,open,high,low,close,volume
2015-06-02,13.59,13.73,13.51,13.64,5099386.0
2015-06-03,13.56,13.57,13.29,13.45,5424214.0
2015-06-04,13.44,13.45,12.895,13.15,7242775.0
2015-06-05,13.08,13.16,12.995,13.02,5311014.0
2015-06-06,13.22,13.24,12.98,13.15,8703444.0
2015-06-09,13.15,13.16,13.02,13.08,3811542.0
2015-06-10,13.07,13.51,13.06,13.51,7776926.0
2015-06-11,13.67,13.72,13.3,13.32,5364597.0
2015-06-12,13.4,13.58,13.32,13.52,4599540.0
2015-06-13,13.48,13.515,13.305,13.35,3341307.0
2015-06-16,13.33,13.48,13.28,13.45,5061136.0
2015-06-17,13.53,13.6,13.33,13.58,3741960.0
2015-06-18,13.61,13.73,13.52,13.67,4934829.0
2015-06-19,13.67,13.875,13.61,13.85,4864818.0
2015-06-20,13.86,13.97,13.765,13.85,4936954.0
2015-06-23,13.92,14.02,13.77,13.94,4214556.0
2015-06-24,13.94,13.97,13.67,13.71,5049285.0
2015-06-25,13.71,13.8,13.54,13.64,4658209.0
2015-06-26,13.64,13.66,13.47,13.53,3817842.0
2015-06-27,13.49,13.53,13.33,13.46,4330622.0
2015-06-30,13.41,13.52,13.15,13.16,4130483.0
2015-07-01,13.21,13.3,13.05,13.26,6181307.0
2015-07-02,13.37,13.37,13.15,13.19,4431406.0
2015-07-03,13.27,13.4,13.16,13.3,3226703.0
2015-07-07,13.03,13.3,12.87,13.2,3563472.0
2015-07-08,13.22,13.34,13.17,13.24,8482035.0
2015-07-09,13.19,13.34,12.78,12.91,6779661.0
2015-07-10,12.99,13.13,12.99,13.01,6709718.0
2015-07-11,13.04,13.16,13.025,13.1,5851847.0
2015-07-14,13.17,13.19,13.02,13.05,4677113.0
2015-07-15,13.05,13.25,13.05,13.11,5839108.0
2015-07-16,13.1,13.19,13.05,13.18,5792490.0
2015-07-17,13.2,13.38,13.14,13.35,4358139.0
2015-07-18,13.74,13.89,13.14,13.21,4006931.0
2015-07-21,13.17,13.17,12.94,13.005,4855816.0
2015-07-22,13.02,13.02,12.87,12.94,3285036.0
2015-07-23,12.9,13.22,12.9,13.17,5434133.0
2015-07-24,13.14,13.2,12.875,12.94,4121264.0
2015-07-25,12.92,12.92,12.68,12.79,3293499.0
2015-07-28,12.73,12.99,12.6901,12.92,3862464.0
2015-07-29,12.93,13.01,12.71,12.77,5628999.0
2015-07-30,12.8,12.84,12.7,12.83,6301215.0
2015-07-31,12.74,12.85,12.66,12.69,4380995.0
2015-08-01,12.81,12.96,12.76,12.8,3446796.0
2015-08-04,12.81,12.94,12.66,12.73,2906029.0
2015-08-05,12.71,12.83,12.53,12.56,2772399.0
2015-08-06,12.61,12.78,12.56,12.59,2489336.0
2015-08-07,12.58,12.63,12.34,12.475,4737551.0
2015-08-08,12.64,12.79,12.58,12.64,3985068.0
2015-08-11,12.58,12.78,12.51,12.68,3145780.0
2015-08-12,12.58,12.8,12.27,12.35,5650105.0
2015-08-13,12.33,13.1,12.33,13.06,7328618.0
2015-08-14,13.01,13.21,12.63,12.67,5653332.0
2015-08-15,12.62,12.86,12.6,12.81,3026250.0
2015-08-18,12.82,12.99,12.67,12.87,4318298.0
2015-08-19,12.85,12.87,12.75,12.82,2795943.0
2015-08-20,12.73,12.75,12.45,12.54,4645403.0
2015-08-21,12.4,12.61,12.29,12.31,5446887.0
2015-08-22,12.16,12.33,11.92,12.0,5053835.0
2015-08-25,11.27,11.73,11.15,11.53,16327285.0
2015-08-26,11.79,11.9,11.33,11.34,8706464.0
2015-08-27,11.56,11.68,11.4,11.68,8231533.0
2015-08-28,11.76,11.88,11.65,11.87,7831822.0
2015-08-29,11.86,12.14,11.8052,12.1,4492498.0
2015-09-01,12.1,12.1,11.82,12.0,5756083.0
2015-09-02,11.78,11.8,11.335,11.44,5679845.0
2015-09-03,11.6,11.63,11.22,11.32,5508592.0
2015-09-04,11.35,11.51,11.25,11.44,5888464.0
2015-09-05,11.32,11.32,11.0,11.08,4438209.0
2015-09-09,11.24,11.36,11.09,11.32,6971659.0
2015-09-10,11.39,11.56,11.27,11.3,5110183.0
2015-09-11,11.23,11.47,11.21,11.24,6479074.0
2015-09-12,11.2,11.24,11.02,11.13,3567387.0
2015-09-15,11.12,11.25,10.99,11.07,5155496.0
2015-09-16,11.11,11.17,10.99,11.12,5344523.0
2015-09-17,11.15,11.2,11.1,11.18,6944724.0
2015-09-18,11.18,11.38,11.0611,11.17,5880401.0
2015-09-19,11.05,11.12,10.88,10.94,7567884.0
2015-09-22,11.0,11.09,10.745,10.78,5128345.0
2015-09-23,10.79,10.79,10.43,10.48,8957011.0
2015-09-24,10.5,10.51,10.14,10.14,7967646.0
2015-09-25,10.05,10.08,9.85,10.0,9676734.0
2015-09-26,10.08,10.16,9.91,9.96,8379850.0
2015-09-29,9.92,10.05,9.79,9.81,6297888.0
2015-09-30,9.81,9.86,9.42,9.46,7570513.0
2015-10-01,9.46,9.82,9.46,9.78,10254073.0
2015-10-02,9.83,10.0,9.72,9.9,8371732.0
2015-10-03,9.81,10.09,9.79,9.9609,5482033.0
2015-10-06,9.96,10.41,9.96,10.308,5961932.0
2015-10-07,10.24,10.46,10.15,10.3636,8339405.0
2015-10-08,10.55,10.75,10.48,10.5931,8371091.0
2015-10-09,10.49,10.8,10.47,10.76,4980791.0
2015-10-10,10.76,10.84,10.65,10.72,4423356.0
2015-10-13,10.73,10.84,10.65,10.71,3612765.0
2015-10-14,10.64,10.85,10.62,10.63,5665825.0
2015-10-15,10.64,10.76,10.56,10.57,4512870.0
2015-10-16,10.62,10.79,10.51,10.78,5227069.0
2015-10-17,10.82,10.82,10.62,10.72,4404829.0
2015-10-20,10.68,10.74,10.52,10.74,8378333.0
2015-10-21,10.7,10.92,10.59,10.88,5572525.0
2015-10-22,10.95,11.07,10.73,10.76,4253523.0
2015-10-23,10.76,11.07,10.75,11.04,5849805.0
2015-10-24,11.05,11.16,10.92,11.05,6274833.0
2015-10-27,10.99,11.05,10.78,10.84,4968059.0
2015-10-28,10.88,10.9,10.745,10.87,5422909.0
2015-10-29,10.88,11.205,10.81,10.87,6429352.0
2015-10-30,10.95,11.07,10.87,11.0,4334544.0
2015-10-31,11.01,11.07,10.92,10.95,3556678.0
2015-11-03,10.95,11.09,10.91,11.0156,4362672.0
2015-11-04,10.94,11.03,10.77,10.9024,7839144.0
2015-11-05,10.95,11.06,10.79,10.8655,4482078.0
2015-11-06,10.61,10.7,9.85,9.88,11847320.0
2015-11-07,9.95,10.23,9.61,10.0907,8174543.0
2015-11-10,10.16,10.23,9.81,9.9,5023645.0
2015-11-11,10.0,10.13,9.94,10.13,5980775.0
2015-11-12,10.07,10.13,9.87,10.05,3775933.0
2015-11-13,9.84,10.07,9.72,9.73,6629458.0
2015-11-14,9.81,9.9,9.72,9.81,5064856.0
2015-11-17,9.77,9.9,9.67,9.81,4885176.0
2015-11-18,9.82,9.92,9.5,9.54,5246356.0
2015-11-19,9.57,9.75,9.5,9.73,3816424.0
2015-11-20,9.72,9.76,9.45,9.57,5414768.0
2015-11-21,9.65,9.81,9.58,9.67,3338014.0
2015-11-24,9.67,9.75,9.58,9.66,5464103.0
2015-11-25,9.66,9.94,9.61,9.9,4802507.0
2015-11-26,9.9,9.92,9.66,9.88,3193960.0
2015-11-28,9.88,10.02,9.83,9.99,3518644.0
2015-12-01,9.99,10.08,9.98,9.99,4850202.0
2015-12-02,9.99,10.09,9.92,9.98,5298199.0
2015-12-03,9.98,10.0,9.6,9.6,6097864.0
2015-12-04,10.24,10.57,9.5,9.52,7678813.0
2015-12-05,9.51,9.6,9.3,9.32,6712213.0
2015-12-08,9.35,9.35,8.14,9.21,5662700.0
2015-12-09,9.11,9.27,9.07,9.2,4910480.0
2015-12-10,9.19,9.43,9.15,9.26,4407625.0
2015-12-11,9.26,9.35,9.16,9.29,3441679.0
2015-12-12,9.17,9.2,8.955,8.97,4716563.0
2015-12-15,9.05,9.15,8.76,8.83,7199336.0
2015-12-16,8.9,9.36,8.89,9.29,9133858.0
2015-12-17,9.29,9.39,9.13,9.37,6020388.0
2015-12-18,9.37,9.5,9.16,9.2,4921408.0
2015-12-19,9.18,9.18,8.94,9.06,7011357.0
2015-12-22,9.08,9.28,9.01,9.16,5913115.0
2015-12-23,9.16,9.31,9.14,9.29,4859375.0
2015-12-24,9.32,9.58,9.31,9.54,3933429.0
2015-12-25,9.53,9.65,9.52,9.58,1511967.0
2015-12-29,9.58,9.63,9.39,9.4,3606598.0
2015-12-30,9.55,9.64,9.47,9.61,2947605.0
2015-12-31,9.61,9.66,9.5,9.5,2932303.0
2016-01-01,9.5,9.73,9.37,9.57,4213933.0
2016-01-05,9.54,9.54,9.22,9.3467,4282796.0
2016-01-06,9.47,9.59,9.28,9.56,4136151.0
2016-01-07,9.5648,9.5648,9.2,9.23,4165539.0
2016-01-08,9.18,9.195,8.99,9.165,7090515.0
2016-01-09,9.01,9.2,8.78,9.13,7578979.0
2016-01-12,9.12,9.22,8.805,9.0,7073521.0
2016-01-13,9.1,9.11,8.68,8.78,5904472.0
2016-01-14,8.75,9.08,8.57,8.64,8300799.0
2016-01-15,8.64,8.89,8.51,8.85,9981177.0
2016-01-16,8.72,8.73,8.32,8.54,7524530.0
2016-01-20,9.54,9.54,8.43,8.71,8491558.0
2016-01-21,8.64,8.7,8.22,8.62,9601793.0
2016-01-22,8.71,9.27,8.59,9.11,10052708.0
2016-01-23,9.15,9.39,9.075,9.17,4900947.0
2016-01-26,9.13,9.19,8.7,8.7,6658843.0
2016-01-27,8.81,9.1,8.77,9.06,4095325.0
2016-01-28,9.04,9.21,8.96,9.0,4480717.0
2016-01-29,9.14,9.34,9.0915,9.16,5167878.0
2016-01-30,9.12,9.51,9.11,9.5,8388352.0
2016-02-02,9.47,9.54,9.3,9.46,5426821.0
2016-02-03,9.12,9.49,9.12,9.29,7250151.0
2016-02-04,9.29,9.81,9.29,9.81,8898263.0
2016-02-05,9.68,10.11,9.68,9.8,7891056.0
2016-02-06,9.54,9.97,9.54,9.75,7091606.0
2016-02-09,9.68,9.71,9.32,9.41,5140944.0
2016-02-10,9.35,9.64,9.2,9.51,5264895.0
2016-02-11,9.73,9.73,9.25,9.53,4045824.0
2016-02-12,9.4,9.4,8.97,9.0,7739925.0
2016-02-13,8.95,9.19,8.88,9.17,5754310.0
2016-02-17,9.31,9.46,9.2,9.38,4293343.0
2016-02-18,9.44,9.74,9.375,9.62,5858411.0
2016-02-19,9.64,9.76,9.5,9.7,3955816.0
2016-02-20,9.64,9.64,9.34,9.41,3753888.0
2016-02-23,9.55,9.8,9.53,9.79,4529281.0
2016-02-24,9.8,9.8,9.51,9.75,3947385.0
2016-02-25,9.6,10.14,9.32,10.03,6629517.0
2016-02-26,10.05,10.08,9.52,9.97,6052081.0
2016-02-27,9.93,10.14,9.8,9.929,4255779.0
2016-03-01,9.85,9.965,9.78,9.8,3418830.0
2016-03-02,9.83,10.17,9.76,10.1,4762437.0
2016-03-03,10.06,10.29,9.94,10.28,3865507.0
2016-03-04,10.29,10.46,10.09,10.45,4375324.0
2016-03-05,10.45,10.82,10.27,10.79,5347554.0
2016-03-08,10.78,10.99,10.65,10.89,5724490.0
2016-03-09,10.89,10.89,10.58,10.62,4761198.0
2016-03-10,10.7,10.79,10.47,10.5,9046895.0
2016-03-11,10.5,10.82,10.43,10.82,3823288.0
2016-03-12,10.82,11.01,10.82,10.91,4226827.0
2016-03-15,10.87,11.01,10.81,10.96,3898743.0
2016-03-16,10.89,11.0,10.85,10.97,6008203.0
2016-03-17,10.93,11.41,10.91,11.006,8199955.0
2016-03-18,11.37,11.57,11.28,11.52,6205036.0
2016-03-19,11.53,11.7,11.53,11.62,6031514.0
2016-03-22,11.62,11.64,11.51,11.54,5695197.0
2016-03-23,11.53,11.65,11.4,11.54,5668875.0
2016-03-24,11.58,11.58,11.28,11.3,4832215.0
2016-03-25,11.24,11.58,11.16,11.57,6232193.0
2016-03-29,11.61,11.63,11.41,11.41,5720481.0
2016-03-30,11.385,11.66,11.345,11.65,4022157.0
2016-03-31,11.73,11.78,11.6,11.62,3015119.0
2016-04-01,11.62,11.803,11.57,11.8,4894376.0
2016-04-02,11.68,11.685,11.41,11.5204,7655296.0
2016-04-05,11.56,11.655,11.31,11.36,5048762.0
