datetime,open,high,low,close,volume
2015-06-05,13.59,13.73,12.895,13.15,31780833.0
2015-06-12,13.15,13.72,13.02,13.35,24893912.0
2015-06-19,13.33,13.97,13.28,13.85,23539697.0
2015-06-26,13.92,14.02,13.33,13.46,22070514.0
2015-07-03,13.41,13.52,13.05,13.3,17969899.0
2015-07-10,13.03,13.34,12.78,13.1,31386733.0
2015-07-17,13.17,13.89,13.02,13.21,24673781.0
2015-07-24,13.17,13.22,12.68,12.79,20989748.0
2015-07-31,12.73,13.01,12.66,12.8,23620469.0
2015-08-07,12.81,12.94,12.34,12.64,16890383.0
2015-08-14,12.58,13.21,12.27,12.81,24804085.0
2015-08-21,12.82,12.99,11.92,12.0,22260366.0
2015-08-28,11.27,12.14,11.15,12.1,45589602.0
2015-09-04,12.1,12.1,11.0,11.08,27271193.0
2015-09-11,11.24,11.56,11.02,11.13,22128303.0
2015-09-18,11.12,11.38,10.88,10.94,30893028.0
2015-09-25,11.0,11.09,9.85,9.96,40109586.0
2015-10-02,9.92,10.09,9.42,9.9609,37976239.0
2015-10-09,9.96,10.84,9.96,10.72,32076575.0
2015-10-16,10.73,10.85,10.51,10.72,23423358.0
2015-10-23,10.68,11.16,10.52,11.05,30329019.0
2015-10-30,10.99,11.205,10.745,10.95,24711542.0
2015-11-06,10.95,11.09,9.61,10.0907,36705757.0
2015-11-13,10.16,10.23,9.72,9.81,26474667.0
2015-11-20,9.77,9.92,9.45,9.67,22700738.0
2015-11-27,9.67,10.02,9.58,9.99,16979214.0
2015-12-04,9.99,10.57,9.3,9.32,30637291.0
2015-12-11,9.35,9.43,8.14,9.01,23138747.0
2015-12-18,8.97,9.5,8.76,9.06,34286647.0
2015-12-25,9.08,9.65,9.01,9.58,16217886.0
2016-01-01,9.58,9.73,9.37,9.57,13700439.0
2016-01-08,9.54,9.59,8.78,9.13,27253980.0
2016-01-15,9.12,9.22,8.32,8.54,38784499.0
2016-01-22,9.54,9.54,8.22,9.17,33047006.0
2016-01-29,9.13,9.51,8.7,9.5,28791115.0
2016-02-05,9.47,10.11,9.12,9.75,36557897.0
2016-02-12,9.68,9.73,8.88,9.17,27945898.0
2016-02-19,9.31,9.76,9.2,9.41,17861458.0
2016-02-26,9.55,10.14,9.32,9.929,25414043.0
2016-03-04,9.85,10.82,9.76,10.79,21769652.0
2016-03-11,10.78,11.01,10.43,10.91,27582698.0
2016-03-18,10.87,11.7,10.81,11.62,30343451.0
2016-03-25,11.62,11.65,11.16,11.57,22428480.0
2016-04-01,11.61,11.803,11.345,11.5204,25307429.0
2016-04-08,11.56,11.655,10.79,10.96,27573111.0
2016-04-15,10.96,11.34,10.96,11.25,17713367.0
2016-04-22,11.18,11.54,11.06,11.18,14743642.0
2016-04-29,11.18,11.48,10.92,11.17,17740958.0
2016-05-06,11.15,11.37,10.95,11.16,17510205.0
2016-05-13,10.95,11.49,10.8,11.16,17487316.0
2016-05-20,11.18,11.24,10.49,10.89,19882390.0
2016-05-27,10.86,11.13,10.73,11.11,16259190.0
2016-06-03,11.12,11.3,10.79,11.22,20088563.0
2016-06-10,11.24,11.55,11.16,11.2,17708038.0
2016-06-17,11.17,11.62,10.91,11.61,22556580.0
2016-06-24,11.61,12.14,11.61,11.89,29216386.0
2016-07-01,11.35,12.53,11.29,12.36,35724943.0
2016-07-08,12.25,12.32,12.0,12.32,17164980.0
2016-07-15,12.32,12.68,12.24,12.63,17452447.0
2016-07-22,12.63,12.68,12.35,12.65,12686680.0
2016-07-29,12.79,12.79,12.1,12.35,13871520.0
2016-08-05,12.33,12.61,12.07,12.23,21096821.0
