делка 389: Открыта 2005-05-13, Закрыта 2005-05-17, PnL=-112.96, Return=-1203.41%
Сделка 390: Открыта 2005-05-20, Закрыта 2005-05-24, PnL=606.90, Return=7042.77%
Сделка 391: Открыта 2005-06-08, Закрыта 2005-06-10, PnL=-100.44, Return=-1021.00%
Сделка 392: Открыта 2005-06-10, Закрыта 2005-06-28, PnL=1003.38, Return=10200.00%
Сделка 393: Открыта 2005-09-13, Закрыта 2005-09-16, PnL=-101.29, Return=-1000.00%
Сделка 394: Открыта 2005-09-16, Закрыта 2005-09-20, PnL=-81.19, Return=-807.44%
Сделка 395: Открыта 2005-09-21, Закрыта 2005-09-30, PnL=2083.13, Return=21328.03%
Сделка 396: Открыта 2005-12-02, Закрыта 2005-12-27, PnL=467.27, Return=4571.40%
Сделка 397: Открыта 2005-12-27, Закрыта 2005-12-29, PnL=-110.20, Return=-1042.99%
Сделка 398: Открыта 2005-12-29, Закрыта 2006-01-03, PnL=0.78, Return=7.53%
Сделка 399: Открыта 2005-12-29, Закрыта 2006-01-24, PnL=-423.21, Return=-3754.21%
Сделка 400: Открыта 2006-04-25, Закрыта 2006-04-27, PnL=-103.04, Return=-937.00%
Сделка 401: Открыта 2006-04-27, Закрыта 2006-05-16, PnL=1048.17, Return=9525.62%
Сделка 402: Открыта 2006-05-24, Закрыта 2006-06-15, PnL=-103.95, Return=-889.00%
Сделка 403: Открыта 2006-06-16, Закрыта 2006-06-20, PnL=-433.09, Return=-3739.82%
Сделка 404: Открыта 2006-06-21, Закрыта 2006-07-05, PnL=972.06, Return=8455.12%
Сделка 405: Открыта 2006-08-04, Закрыта 2007-08-07, PnL=-137.29, Return=-1134.89%
Сделка 406: Открыта 2006-08-04, Закрыта 2007-08-08, PnL=-280.31, Return=-2347.98%
Сделка 407: Открыта 2007-08-31, Закрыта 2007-09-17, PnL=-207.84, Return=-1741.00%
Сделка 408: Открыта 2007-09-17, Закрыта 2007-09-24, PnL=1037.02, Return=8610.00%
Сделка 409: Открыта 2007-09-28, Закрыта 2007-10-22, PnL=-104.68, Return=-788.00%
Сделка 410: Открыта 2007-09-28, Закрыта 2007-10-23, PnL=-188.04, Return=-1402.93%
Сделка 411: Открыта 2007-10-23, Закрыта 2007-11-06, PnL=1105.56, Return=8301.81%
Сделка 412: Открыта 2008-01-22, Закрыта 2008-02-01, PnL=1353.65, Return=11879.57%
Сделка 413: Открыта 2008-03-17, Закрыта 2008-03-20, PnL=-106.84, Return=-1003.00%
Сделка 414: Открыта 2008-03-24, Закрыта 2008-04-15, PnL=1530.52, Return=14336.70%
Сделка 415: Открыта 2008-03-24, Закрыта 2008-04-17, PnL=-178.28, Return=-1518.15%
Сделка 416: Открыта 2008-04-22, Закрыта 2008-04-24, PnL=-107.98, Return=-924.00%
Сделка 417: Открыта 2008-04-25, Закрыта 2008-04-30, PnL=-308.95, Return=-2611.26%
Сделка 418: Открыта 2008-04-30, Закрыта 2008-05-09, PnL=1075.95, Return=9350.00%
Сделка 419: Открыта 2008-05-27, Закрыта 2008-06-18, PnL=797.67, Return=6404.24%
Сделка 420: Открыта 2008-05-27, Закрыта 2008-06-20, PnL=317.33, Return=2316.15%
Сделка 421: Открыта 2008-07-16, Закрыта 2008-08-01, PnL=-109.74, Return=-1027.00%
Сделка 422: Открыта 2008-07-16, Закрыта 2008-08-07, PnL=683.80, Return=6904.79%
Сделка 423: Открыта 2008-07-16, Закрыта 2008-08-11, PnL=-690.30, Return=-7040.76%
Сделка 424: Открыта 2008-07-16, Закрыта 2008-09-04, PnL=230.12, Return=2410.83%
Сделка 425: Открыта 2008-07-16, Закрыта 2008-09-10, PnL=638.76, Return=6759.47%
Сделка 426: Открыта 2008-09-17, Закрыта 2008-09-19, PnL=1534.57, Return=20614.74%
Сделка 427: Открыта 2008-10-06, Закрыта 2008-10-08, PnL=1119.71, Return=19130.00%
Сделка 428: Открыта 2008-10-08, Закрыта 2008-10-10, PnL=-1094.91, Return=-18171.21%
Сделка 429: Открыта 2008-10-14, Закрыта 2008-10-17, PnL=-782.16, Return=-14550.94%
Сделка 430: Открыта 2008-10-17, Закрыта 2008-10-23, PnL=-111.21, Return=-2056.00%
Сделка 431: Открыта 2008-10-24, Закрыта 2008-10-28, PnL=-296.78, Return=-5807.02%
Сделка 432: Открыта 2008-10-28, Закрыта 2008-10-30, PnL=-28.22, Return=-546.49%
Сделка 433: Открыта 2008-11-05, Закрыта 2008-11-07, PnL=-611.70, Return=-12745.82%
Сделка 434: Открыта 2008-11-11, Закрыта 2008-11-13, PnL=1454.12, Return=31563.57%
Сделка 435: Открыта 2008-11-20, Закрыта 2008-11-25, PnL=1311.71, Return=28720.28%
Сделка 436: Открыта 2008-12-03, Закрыта 2008-12-05, PnL=-526.05, Return=-11411.83%
Сделка 437: Открыта 2008-12-08, Закрыта 2008-12-10, PnL=-112.31, Return=-2399.92%
Сделка 438: Открыта 2008-12-10, Закрыта 2008-12-12, PnL=-223.37, Return=-4793.44%
Сделка 439: Открыта 2008-12-12, Закрыта 2008-12-16, PnL=-323.37, Return=-6710.15%
Сделка 440: Открыта 2008-12-16, Закрыта 2008-12-18, PnL=-391.07, Return=-7544.28%
Сделка 441: Открыта 2008-12-18, Закрыта 2008-12-22, PnL=-207.22, Return=-3883.26%
Сделка 442: Открыта 2008-12-22, Закрыта 2008-12-24, PnL=-241.94, Return=-4679.39%
Сделка 443: Открыта 2008-12-24, Закрыта 2008-12-31, PnL=1107.20, Return=21920.00%
Сделка 444: Открыта 2008-12-31, Закрыта 2009-01-05, PnL=1118.09, Return=20470.00%
Сделка 445: Открыта 2009-01-13, Закрыта 2009-01-15, PnL=-372.51, Return=-6690.01%
Сделка 446: Открыта 2009-01-20, Закрыта 2009-01-27, PnL=1013.26, Return=19120.27%
Сделка 447: Открыта 2009-01-30, Закрыта 2009-02-11, PnL=87.44, Return=1697.68%
Сделка 448: Открыта 2009-01-30, Закрыта 2009-02-24, PnL=-112.30, Return=-2647.00%
Сделка 449: Открыта 2009-01-30, Закрыта 2009-02-25, PnL=17.55, Return=411.15%
Сделка 450: Открыта 2009-03-02, Закрыта 2009-03-04, PnL=-506.77, Return=-13651.80%
Сделка 451: Открыта 2009-03-04, Закрыта 2009-03-06, PnL=-818.78, Return=-22959.10%
Сделка 452: Открыта 2009-03-06, Закрыта 2009-03-10, PnL=-112.15, Return=-3311.00%
Сделка 453: Открыта 2009-03-11, Закрыта 2009-03-13, PnL=1180.67, Return=32034.84%
Сделка 454: Открыта 2009-03-20, Закрыта 2009-03-26, PnL=-226.43, Return=-5442.00%
Сделка 455: Открыта 2009-03-26, Закрыта 2009-03-30, PnL=-36.15, Return=-885.28%
Сделка 456: Открыта 2009-03-31, Закрыта 2009-04-08, PnL=2413.87, Return=64004.96%
Сделка 457: Открыта 2009-04-09, Закрыта 2009-04-28, PnL=-558.76, Return=-12788.09%
Сделка 458: Открыта 2009-04-28, Закрыта 2009-04-30, PnL=1147.13, Return=26300.00%
Сделка 459: Открыта 2009-04-30, Закрыта 2009-05-04, PnL=1158.51, Return=24720.00%
Сделка 460: Открыта 2009-05-04, Закрыта 2009-05-08, PnL=1299.61, Return=24446.01%
Сделка 461: Открыта 2009-05-08, Закрыта 2009-05-12, PnL=-541.04, Return=-8609.73%
Сделка 462: Открыта 2009-05-12, Закрыта 2009-05-14, PnL=-615.62, Return=-10505.88%
Сделка 463: Открыта 2009-05-14, Закрыта 2009-05-18, PnL=-473.60, Return=-7903.41%
Сделка 464: Открыта 2009-05-18, Закрыта 2009-05-20, PnL=-116.59, Return=-1950.00%
Сделка 465: Открыта 2009-05-20, Закрыта 2009-05-22, PnL=-184.02, Return=-3180.00%
Сделка 466: Открыта 2009-05-22, Закрыта 2009-05-28, PnL=1162.79, Return=20350.00%
Сделка 467: Открыта 2009-05-28, Закрыта 2009-06-01, PnL=1174.42, Return=18630.00%
Сделка 468: Открыта 2009-06-01, Закрыта 2009-06-03, PnL=-288.68, Return=-4085.38%
Сделка 469: Открыта 2009-06-04, Закрыта 2009-06-08, PnL=-118.29, Return=-1711.00%
Сделка 470: Открыта 2009-06-08, Закрыта 2009-06-10, PnL=-236.45, Return=-3520.00%
Сделка 471: Открыта 2009-06-11, Закрыта 2009-06-16, PnL=-167.94, Return=-2474.63%
Сделка 472: Открыта 2009-06-16, Закрыта 2009-06-18, PnL=-341.98, Return=-5174.58%
Сделка 473: Открыта 2009-06-19, Закрыта 2009-06-23, PnL=-1115.41, Return=-17527.97%
Сделка 474: Открыта 2009-06-24, Закрыта 2009-06-30, PnL=1206.02, Return=17261.67%
Сделка 475: Открыта 2009-07-02, Закрыта 2009-07-07, PnL=-93.61, Return=-1259.70%
